access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_renewable_source,lng_vehicle_class,lpg_primary,lpg_nozzle_types,ng_fill_type_code,ng_psi,ng_vehicle_class,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr
public,24 hours daily,,,2020-04-04,,ELEC,Public,41864,,,E,EVPASS,888-758-4389,2020-04-04T09:19:44Z,,200-8,43.067538,-76.170394,Syracuse,"CCT N-1; 3 units in north underground garage off Harborside Dr
CCT N-2; 3 units in north underground garage off Harborside Dr",,NY,9090 Carousel Center Drive,13290,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,"$0.49 per kWh, minimum payment of $1",,,,,,,,,,,,,,,,Public,,"{'posts': ['1:51183', '1:51193'], 'ports': ['1']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,42193,,,E,BEAM CHARGING,888-758-4389,2020-04-04T09:19:44Z,,GPS,40.7284126,-74.0073318,Manhattan,375 HUDSON PKNG; Mounted to wall directly in front of manager office,,NY,375 Hudson St,10014,US,,,,,,,,,,,"['J1772', 'NEMA520']",,1,1,ChargePoint Network,http://www.chargepoint.com/,,"$0.49 per kWh, minimum payment of $1",,,,,,,,,,,,,,,,Public,,"{'posts': ['1:8330'], 'ports': ['1', '2']}"
public,24 hours daily,,,2019-06-06,,ELEC,Public,42992,2011-12-31,P,E,AAA Car Care Plus,716-362-0562  855-443-3873,2020-01-21T18:34:38Z,PARKING_LOT,200-9,42.979363,-78.821443,Amherst,,,NY,2131 Eggert Rd,14226,US,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,
public,24 hours daily,,,2019-06-06,,ELEC,Public,42993,2018-12-17,P,E,AAA Car Care Plus,716-932-3900  855-443-3873,2020-01-21T18:34:38Z,SHOPPING_CENTER,200-8,42.965117,-78.69245,Clarence,,,NY,8120 Main St,14221,US,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,
public,24 hours daily,,,2020-04-04,,ELEC,Public,43262,,,E,BEAM CHARGING,888-758-4389,2020-04-04T09:19:44Z,,GPS,40.7780647,-73.9825058,Manhattan,HIGHRISE PKNG; basement level right side of pillar,,NY,200 W 71st St,10023,US,,,,,,,,,,,"['J1772', 'NEMA520']",,1,1,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on an hourly rate. $2.95 per hour, maximum payment of $24, maximum session time is 24 hours",,,,,,,,,,,,,,,,Public,,"{'posts': ['1:8236'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,43263,,,E,BEAM CHARGING,888-758-4389,2020-04-04T09:19:44Z,,GPS,40.7639046,-73.9644852,Manhattan,UPTOWN PARKING; basement level opposite managers office,,NY,205 E 63rd St,10065,US,,,,,,,,,,,"['J1772', 'NEMA520']",,1,1,ChargePoint Network,http://www.chargepoint.com/,,"$0.49 per kWh, minimum payment of $1",,,,,,,,,,,,,,,,Public,,"{'posts': ['1:8338'], 'ports': ['1', '2']}"
public,24 hours daily; pay lot,,,2019-12-12,,ELEC,Public,43745,2011-06-15,P,E,Roosevelt Hospital Garage,212-957-3692,2020-01-21T18:34:38Z,PARKING_GARAGE,200-8,40.77079,-73.988508,New York,,,NY,515 W 59th St,10019,US,,,,,,,,,,,"['J1772', 'NEMA515']",,1,1,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,44174,2011-11-30,P,E,Thruway Nissan,845-562-1000,2020-01-21T18:34:38Z,CAR_DEALER,200-9,41.504105,-74.068916,Newburgh,,,NY,79 Route 17K,12550,US,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,
private,,,,2019-09-09,,ELEC,Private,44175,2011-11-30,P,E,Thruway Nissan,845-562-1000,2020-01-21T18:34:38Z,CAR_DEALER,200-9,41.504105,-74.068916,Newburgh,,,NY,79 Route 17K,12550,US,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,
public,Dealership business hours; see service desk for access,CALL,,2020-02-06,,ELEC,Public - Call ahead,44176,2011-11-30,P,E,Country Club Nissan,607-432-2800,2020-02-06T21:24:11Z,CAR_DEALER,GPS,42.451285,-75.100333,Oneonta,,,NY,55 Oneida St,13820,US,,,,,,,,,,,"['CHADEMO', 'J1772', 'J1772COMBO']",2,,2,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,
private,,,,2020-02-06,,ELEC,Private,44177,2011-11-30,P,E,Country Club Nissan,607-432-2800,2020-02-06T21:24:11Z,CAR_DEALER,GPS,42.451285,-75.100333,Oneonta,,,NY,55 Oneida St,13820,US,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,44178,2011-11-30,P,E,West-Herr Nissan,716-662-8008,2020-01-21T18:34:38Z,CAR_DEALER,200-9,42.784867,-78.76558,Orchard Park,,,NY,3580 Southwestern Blvd,14127,US,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,
private,,,,2019-09-09,,ELEC,Private,44179,2011-11-30,P,E,West-Herr Nissan,716-662-8008,2020-01-21T18:34:38Z,CAR_DEALER,200-9,42.784867,-78.76558,Orchard Park,,,NY,3580 Southwestern Blvd,14127,US,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,
public,Dealership business hours; contact 631-289-9100 for more information,CALL,,2020-01-13,,ELEC,Public - Call ahead,44180,2011-11-30,P,E,Nissan 112,,2020-01-21T18:34:38Z,CAR_DEALER,GPS,40.792986,-73.00827,Patchogue,Route 112,,NY,730 Route 112,11772,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1,,1,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,
private,,,,2020-01-13,,ELEC,Private,44181,2011-11-30,P,E,Nissan 112,,2020-01-21T18:34:38Z,CAR_DEALER,GPS,40.792986,-73.00827,Patchogue,Route 112,,NY,730 Route 112,11772,US,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,44182,2011-11-30,P,E,Huttig Nissan,518-561-1210,2020-01-21T18:34:38Z,CAR_DEALER,200-9,44.667361,-73.444894,Plattsburgh,,,NY,4670 State Route 9,12901,US,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,
private,,,,2019-09-09,,ELEC,Private,44183,2011-11-30,P,E,Huttig Nissan,518-561-1210,2020-01-21T18:34:38Z,CAR_DEALER,200-9,44.667361,-73.444894,Plattsburgh,,,NY,4670 State Route 9,12901,US,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,44184,2011-11-30,P,E,Nissan City - Port Chester,914-937-1777,2020-01-21T18:34:38Z,CAR_DEALER,200-9,40.996358,-73.669405,Port Chester,,,NY,225 Boston Post Rd,10573,US,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,
private,,,,2019-09-09,,ELEC,Private,44185,2011-11-30,P,E,Nissan City - Port Chester,914-937-1777,2020-01-21T18:34:38Z,CAR_DEALER,200-9,40.996358,-73.669405,Port Chester,,,NY,225 Boston Post Rd,10573,US,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,44186,2011-11-30,P,E,Riverhead Auto Mall,631-369-0600,2020-01-21T18:34:38Z,CAR_DEALER,200-9,40.924582,-72.704532,Riverhead,,,NY,1800 Old Country Rd,11901,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1,,2,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,
private,,,,2019-09-09,,ELEC,Private,44187,2011-11-30,P,E,Riverhead Auto Mall,631-369-0600,2020-01-21T18:34:38Z,CAR_DEALER,200-9,40.924582,-72.704532,Riverhead,,,NY,1800 Old Country Rd,11901,US,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,44188,2011-11-30,P,E,Dorschel Nissan,585-334-9440,2020-01-21T18:34:38Z,CAR_DEALER,200-8,43.077581,-77.641934,Rochester,,,NY,3817 W Henrietta Rd,14623,US,,,,,,,,,,,['J1772'],,,3,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,
private,,,,2019-09-09,,ELEC,Private,44189,2011-11-30,P,E,Dorschel Nissan,585-334-9440,2020-01-21T18:34:38Z,CAR_DEALER,200-8,43.077581,-77.641934,Rochester,,,NY,3817 W Henrietta Rd,14623,US,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,
public,Dealership business hours; contact 631-361-9696 for more information,CALL,,2020-01-13,,ELEC,Public - Call ahead,44190,2011-11-30,P,E,Smithtown Nissan,,2020-01-21T18:34:38Z,CAR_DEALER,200-9,40.859886,-73.162067,St. James,,,NY,535 Middle Country Rd,11780,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1,,1,Non-Networked,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,
private,,,,2020-01-13,,ELEC,Private,44191,2011-11-30,P,E,Smithtown Nissan,,2020-01-21T18:34:38Z,CAR_DEALER,200-9,40.859886,-73.162067,St. James,,,NY,535 Middle Country Rd,11780,US,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,44192,2011-11-30,P,E,Lia Nissan,518-579-2000,2020-01-21T18:34:38Z,CAR_DEALER,200-9,42.764517,-73.88522,Schenectady,,,NY,2233 Central Ave,12304,US,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,
private,,,,2019-09-09,,ELEC,Private,44193,2011-11-30,P,E,Lia Nissan,518-579-2000,2020-01-21T18:34:38Z,CAR_DEALER,200-9,42.764517,-73.88522,Schenectady,,,NY,2233 Central Ave,12304,US,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,
private,,,,2019-09-09,,ELEC,Private,44198,2011-11-30,P,E,Legend Nissan,516-496-8181,2020-01-21T18:34:38Z,CAR_DEALER,200-9,40.809865,-73.507761,Syosset,,,NY,268 Jericho Turnpike,11791,US,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,44201,2011-11-30,P,E,Gregoris Motors,516-825-8700,2020-01-21T18:34:38Z,CAR_DEALER,200-9,40.670497,-73.717206,Valley Stream,,,NY,555 W Merrick Rd,11580,US,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,
private,,,,2019-09-09,,ELEC,Private,44202,2011-11-30,P,E,Gregoris Motors,516-825-8700,2020-01-21T18:34:38Z,CAR_DEALER,200-9,40.670497,-73.717206,Valley Stream,,,NY,555 W Merrick Rd,11580,US,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,
public,Dealership business hours,,,2019-09-09,,ELEC,Public,44203,2011-11-30,P,E,Legend Nissan,516-496-8181,2020-01-21T18:34:38Z,CAR_DEALER,200-9,40.809865,-73.507761,Syosset,,,NY,268 Jericho Turnpike,11791,US,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,44204,2011-11-30,P,E,Serafini Nissan-Volvo,607-729-3511,2020-01-21T18:34:38Z,CAR_DEALER,200-9,42.095812,-76.003703,Vestal,,,NY,3101 Vestal Pkwy E,13850,US,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,
private,,,,2019-09-09,,ELEC,Private,44205,2011-11-30,P,E,Serafini Nissan-Volvo,607-729-3511,2020-01-21T18:34:38Z,CAR_DEALER,200-9,42.095812,-76.003703,Vestal,,,NY,3101 Vestal Pkwy E,13850,US,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,44206,2011-11-30,P,E,Poughkeepsie Nissan,845-297-4314,2020-01-21T18:34:38Z,CAR_DEALER,200-9,41.587383,-73.908392,Wappingers Falls,,,NY,1445 Route 9,12590,US,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,
private,,,,2019-09-09,,ELEC,Private,44207,2011-11-30,P,E,Poughkeepsie Nissan,845-297-4314,2020-01-21T18:34:38Z,CAR_DEALER,200-9,41.587383,-73.908392,Wappingers Falls,,,NY,1445 Route 9,12590,US,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,44208,2011-11-30,P,E,Vision Nissan,585-787-2000,2020-01-21T18:34:38Z,CAR_DEALER,200-9,43.204065,-77.478237,Webster,,,NY,785 Ridge Rd,14580,US,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,
private,,,,2019-09-09,,ELEC,Private,44209,2011-11-30,P,E,Vision Nissan,585-787-2000,2020-01-21T18:34:38Z,CAR_DEALER,200-9,43.204065,-77.478237,Webster,,,NY,785 Ridge Rd,14580,US,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,44212,2011-11-30,P,E,Nissan of Westbury,516-338-5600,2020-01-21T18:34:38Z,CAR_DEALER,200-8,40.753954,-73.561974,Westbury,,,NY,939 Old Country Rd,11590,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1,,1,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,
private,,,,2019-09-09,,ELEC,Private,44213,2011-11-30,P,E,Nissan of Westbury,516-338-5600,2020-01-21T18:34:38Z,CAR_DEALER,200-8,40.753954,-73.561974,Westbury,,,NY,939 Old Country Rd,11590,US,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,44216,2011-11-30,P,E,West Herr Nissan - Williamsville,877-813-5387,2020-01-21T18:34:38Z,CAR_DEALER,200-8,42.965083,-78.691464,Williamsville,,,NY,8137 Main St,14221,US,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,44218,2011-11-30,P,E,Nissan of Yorktown Heights,914-737-3500,2020-01-21T18:34:38Z,CAR_DEALER,200-8,41.289317,-73.835547,Yorktown Heights,,,NY,3495 Old Crompond Rd,10598,US,,,,,,,,,,,"['CHADEMO', 'J1772']",1,,2,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,
private,,,,2019-09-09,,ELEC,Private,44219,2011-11-30,P,E,Nissan of Yorktown Heights,914-737-3500,2020-01-21T18:34:38Z,CAR_DEALER,200-8,41.289317,-73.835547,Yorktown Heights,,,NY,3495 Old Crompond Rd,10598,US,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,44317,2011-11-30,P,E,Destination Nissan,518-438-8461,2020-01-21T18:34:38Z,CAR_DEALER,200-9,42.676971,-73.787334,Albany,,,NY,770 Central Ave,12206,US,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,
private,,,,2019-09-09,,ELEC,Private,44318,2011-11-30,P,E,Destination Nissan,518-438-8461,2020-01-21T18:34:38Z,CAR_DEALER,200-9,42.676971,-73.787334,Albany,,,NY,770 Central Ave,12206,US,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,44319,2011-11-30,P,E,Mike Barney Nissan,716-833-9888,2020-01-21T18:34:38Z,CAR_DEALER,200-9,42.979725,-78.797346,Amherst,,,NY,3676 Sheridan Dr,14226,US,,,,,,,,,,,['J1772'],,,2,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,44321,2011-11-30,P,E,Lebrun Nissan,315-253-7700,2020-01-21T18:34:38Z,CAR_DEALER,200-9,42.966894,-76.535879,Auburn,,,NY,396 Grant Ave,13021,US,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,44323,2011-11-30,P,E,Star Nissan,718-423-0500,2020-01-21T18:34:38Z,CAR_DEALER,200-8,40.758245,-73.776954,Bayside,,,NY,20602 Northern Blvd,11361,US,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,
