Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,Zipcode,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,EV Connector Types
ELEC,Icon Parking 240 East Broadway - Tesla Destination,188 Clinton St,,New York,NY,10002,,212-253-0240  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.715074,-73.986927,9/30/2019,115035,3/2/2020 20:14,P,,,11/1/2018,J1772 TESLA
ELEC,iPark 59-63 Allen Street - Tesla Destination,59-63 Allen St,,New York,NY,10002,,212-226-1793  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.717124,-73.99201,9/30/2019,115166,3/2/2020 20:14,P,,,11/1/2018,J1772 TESLA
ELEC,59 Allen Street - Tesla Supercharger,59 Allen Street,,New York,NY,10002,,877-798-3752,E,,Public,24 hours daily; for Tesla use only,,,,4,,Tesla,http://www.teslamotors.com/supercharger,GPS,40.717153,-73.991869,1/31/2020,116808,2/6/2020 19:50,P,,,12/1/2018,TESLA
ELEC,Delancey and Essex Municipal Parking Garage,107 Essex St,,New York,NY,10002,,866-816-7584,E,,Public,24 hours daily; Also accepts Paypal,A D M V,,2,,,EV Connect,http://evconnect.com/,GPS,40.719319,-73.988196,,155100,3/31/2020 16:39,LG,,,4/16/2018,J1772
ELEC,Delancey & Essex Municipal Parking Garage,107 Essex St,,Manhattan,NY,10002,,866-816-7584,E,,Public,24 hours daily,,,5,,,EV Connect,http://evconnect.com/,200-8,40.719051,-73.988181,5/9/2019,94848,3/26/2020 17:18,LG,,,3/20/2015,J1772
ELEC,iPark - 59 Allen Street Garage,59 Allen Street,Attendant will assist in charging vehicle.  Parking rates apply. Inquire within.,New York,NY,10002,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2,,,Blink Network,http://www.blinkcharging.com/,GPS,40.717195,-73.991658,4/1/2020,95271,4/1/2020 8:08,,,,,J1772
ELEC,GGMC Parking Union Square Parking Garage - Tesla Destination,100 E 15th St,,New York,NY,10003,,212-677-2026  877-798-3752,E,,Public,24 hours daily; see valet for access,,,6,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.734817,-73.989198,9/30/2019,114988,3/2/2020 20:14,P,,,1/1/2016,J1772 TESLA
ELEC,GGMC Parking Stewart House Garage - Tesla Destination,91 East 9th St,,New York,NY,10003,,212-995-1940  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.73099,-73.990963,9/30/2019,115194,3/2/2020 20:14,P,,,1/1/2016,J1772 TESLA
ELEC,Parkit 403 Lafayette St. - Tesla Destination,403 Lafayette St,,New York,NY,10003,,212-254-1263  877-798-3752,E,,Public,24 hours daily; for customer use only; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.728137,-73.992393,9/30/2019,115124,3/2/2020 20:14,P,,,3/1/2015,J1772 TESLA
ELEC,Champion Parking E 16th Street - Tesla Destination,101  E 16th St,,New York,NY,10003,,212-358-1476  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.736116,-73.989322,9/30/2019,114991,3/2/2020 20:14,P,,,9/1/2017,J1772 TESLA
ELEC,Parkit 310 E 11th Street - Tesla Destination,310  E 11th St,,New York,NY,10003,,212-475-5262  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.729871,-73.98568,9/30/2019,115089,3/2/2020 20:14,P,,,3/1/2017,J1772 TESLA
ELEC,Icon Parking 202 E 18th Street - Tesla Destination,202 E 18th St,,Manhattan,NY,10003,,212-473-9869  877-798-3752,E,,Public,24 hours daily; pay lot; see valet for access,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.735561,-73.985319,9/30/2019,150570,3/2/2020 20:14,P,,,9/30/2019,TESLA
ELEC,Champion Parking 60 E 8th - Tesla Destination,60-68 E 8th St,,New York,NY,10003,,212-473-9061  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.730501,-73.993075,9/30/2019,115172,3/2/2020 20:14,P,,,2/1/2015,J1772 TESLA
ELEC,Icon Parking 12 East 9th Street - Tesla Destination,12 E 9th St,,New York,NY,10003,,212-473-9751  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.732324,-73.99517,9/30/2019,115005,3/2/2020 20:14,P,,,1/1/2016,J1772 TESLA
ELEC,Icon Parking University 10 Parking - Tesla Destination,63  E 9th St,,New York,NY,10003,,212-979-5380  877-798-3752,E,,Public - Call ahead,24 hours daily,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.731544,-73.992045,9/30/2019,115177,3/2/2020 20:14,P,,,8/15/2016,J1772 TESLA
ELEC,Astor Place,445 Lafayette St,,New York,NY,10003,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2,,,Blink Network,http://www.blinkcharging.com/,GPS,40.7297,-73.991565,4/1/2020,124144,4/1/2020 8:08,,,,,J1772
ELEC,Standard Parking 21 East 15th Street - Tesla Destination,21 E 15th St,,New York,NY,10003,,800-836-6666  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.73644,-73.992027,9/30/2019,115050,3/2/2020 20:14,P,,,12/15/2016,J1772 TESLA
ELEC,Icon Parking 11 5th Ave - Tesla Destination,11 5th Ave,,New York,NY,10003,,212-475-9562  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.732257,-73.99608,9/30/2019,114998,3/2/2020 20:14,P,,,1/1/2016,J1772 TESLA
ELEC,Icon Parking 14-26 William Street - Tesla Destination,14-26 William St,,New York,NY,10004,,212-269-5056  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.704976,-74.009682,9/30/2019,115014,3/2/2020 20:14,P,,,5/1/2016,J1772 TESLA
ELEC,Icon Parking Wall Park - Tesla Destination,39  Exchange Pl,,New York,NY,10005,,212-825-0700  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.706109,-74.010148,9/30/2019,115116,3/2/2020 20:14,P,,,3/1/2017,J1772 TESLA
ELEC,Andaz Wall Street - Tesla Destination,75 Wall St,,New York,NY,10005,,212-590-1234  877-798-3752,E,,Public,24 hours daily; for customer use only; see valet for access,,,1,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.705042,-74.008118,9/30/2019,122490,3/2/2020 20:14,P,,,3/1/2019,TESLA
ELEC,iPark NYC 75 Wall Street - Tesla Destination,75 Wall St,,New York,NY,10005,,855-472-7569  877-798-3752,E,,Public,24 hours daily; for customer use only; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.705042,-74.008118,9/30/2019,122491,3/2/2020 20:14,P,,,3/1/2019,J1772 TESLA
ELEC,75 Park Place,75 Park Place,,New York,NY,10007,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,1,,,Blink Network,http://www.blinkcharging.com/,GPS,40.714463,-74.01098,4/1/2020,154445,4/1/2020 8:08,,,,,J1772
ELEC,Central Parking 200 Chambers - Tesla Destination,200 Chambers St,,New York,NY,10007,,800-836-6666  877-798-3752,E,,Public,24 hours daily; pay lot; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.716579,-74.012393,9/30/2019,115038,3/2/2020 20:14,P,,,11/1/2018,J1772 TESLA
ELEC,Standard Parking 270 Greenwich - Tesla Destination,270 Greenwich St,,New York,NY,10007,,800-836-6666  877-798-3752,E,,Public,24 hours daily; pay lot; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.715543,-74.011435,9/30/2019,115076,3/2/2020 20:14,P,,,11/1/2018,J1772 TESLA
ELEC,SP+ - 200 Chambers Street Garage,200 Chambers Street,,New York,NY,10007,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2,,,Blink Network,http://www.blinkcharging.com/,GPS,40.7163,-74.01258,4/1/2020,96507,4/1/2020 8:08,,,,,J1772
ELEC,Icon Parking 54 Murray Street - Tesla Destination,54 Murray St,,New York,NY,10007,,212-962-9011  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.714121,-74.009808,9/30/2019,115154,3/2/2020 20:14,P,,,11/1/2018,J1772 TESLA
ELEC,Icon Parking 51 W 22nd - Tesla Destination,51 W 22nd St,,New York,NY,10010,,646-230-7263  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.742197,-73.992168,9/30/2019,115147,3/2/2020 20:14,P,,,1/1/2016,J1772 TESLA
ELEC,ALBANESE ORG,77 W 24th St,NS1-77 W24TH ST,New York,NY,10010,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.743562,-73.991893,4/1/2020,77134,4/1/2020 9:20,,,,,J1772
ELEC,Icon Parking 245 E 19th St. - Tesla Destination,245  E 19th St,,New York,NY,10010,,212-228-7973  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.73591,-73.983331,9/30/2019,150520,3/2/2020 20:14,P,,,9/30/2019,J1772 TESLA
ELEC,Icon Parking 40 W 26th Street - Tesla Destination,40 W 26th St,,New York,NY,10010,,212-206-8749  877-798-3752,E,,Public - Call ahead,24 hours daily,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.743961,-73.989912,9/30/2019,115119,3/2/2020 20:14,P,,,5/1/2016,J1772 TESLA
ELEC,Icon Parking 5 E 22nd Street - Tesla Destination,5  E 22nd St,,New York,NY,10010,,212-674-9002  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.740794,-73.988885,9/30/2019,115142,3/2/2020 20:14,P,,,5/1/2016,J1772 TESLA
ELEC,Spectrum,769 5th Ave,,Brooklyn,NY,10010,,866-816-7584,E,,Public,Office business hours; for employee and guest use only,,,2,,,EV Connect,http://evconnect.com/,200-8,40.657846,-73.996791,12/12/2019,94833,3/30/2020 20:58,P,,,11/15/2019,J1772
ELEC,Icon Parking 322 23rd Street - Tesla Destination,318-322  E 23rd St,,New York,NY,10010,,212-674-2918  877-798-3752,E,,Public,24 hours daily; pay lot; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.737362,-73.980167,9/30/2019,115092,3/2/2020 20:14,P,,,11/1/2018,J1772 TESLA
ELEC,Quik Park West 23rd Street Garage LLC - Tesla Destination,423-431  W 23rd St,,New York,NY,10011,,212-352-0514  877-798-3752,E,,Public,24 hours daily; for customer use only; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.746762,-74.001428,9/30/2019,115133,3/2/2020 20:14,P,,,2/1/2015,J1772 TESLA
ELEC,The Caledonia,450 W 17th Street,Chargers located on Level 1,New York,NY,10011,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2,,,Blink Network,http://www.blinkcharging.com/,GPS,40.743832,-74.006578,4/1/2020,95252,4/1/2020 8:08,,,,,J1772
ELEC,Icon Parking 101 W 15th - Tesla Destination,101 W 15th St,,New York,NY,10011,,212-243-4201  877-798-3752,E,,Public,24 hours daily; pay lot,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.738352,-73.996519,9/30/2019,114992,3/2/2020 20:14,P,,,11/1/2018,TESLA
ELEC,Quikpark 173 W 12th Street - Tesla Destination,173 W 12th St,,New York,NY,10011,,646-336-6225  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.7372,-74.00007,9/30/2019,115032,3/2/2020 20:14,P,,,9/1/2017,J1772 TESLA
ELEC,Icon Parking 55 W 14th Street - Tesla Destination,55 W 14th St,,New York,NY,10011,,212-242-9218  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.737266,-73.99611,9/30/2019,115159,3/2/2020 20:14,P,,,5/1/2016,J1772 TESLA
ELEC,The Westminster,180 W 20th Street,,New York,NY,10011,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,1,,,Blink Network,http://www.blinkcharging.com/,GPS,40.741945,-73.996664,4/1/2020,95502,4/1/2020 8:08,,,,,J1772
ELEC,BEAM CHARGING,107 W 13th St,107 W 13TH ST; See valet attendant for instructions  on using the charging stations.,New York,NY,10011,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.736949,-73.997796,4/1/2020,51680,4/1/2020 9:20,,,,,J1772
ELEC,Icon Parking 16 W 16th Street - Tesla Destination,16 W 16th St,,New York,NY,10011,,212-242-9635  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.737595,-73.993837,9/30/2019,115026,3/2/2020 20:14,P,,,1/1/2016,J1772 TESLA
ELEC,Standard Parking 20 W 13th Street - Tesla Destination,20 W 13th St,,New York,NY,10011,,800-836-6666  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.735594,-73.995291,9/30/2019,115037,3/2/2020 20:14,P,,,3/1/2017,J1772 TESLA
ELEC,Icon Parking 111 8th Ave Parking - Tesla Destination,385  W 15th St,,New York,NY,10011,,212-929-8164  877-798-3752,E,,Public,24 hours daily; see valet for access,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.741669,-74.004397,9/30/2019,115114,3/2/2020 20:14,P,,,3/1/2017,TESLA
ELEC,iPark NYC 549 W 23rd Street - Tesla Destination,549  W 23rd St,,New York,NY,10011,,855-472-7569  877-798-3752,E,,Public,24 hours daily; for customer use only; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.748931,-74.006078,9/30/2019,115158,3/2/2020 20:14,P,,,3/1/2016,J1772 TESLA
ELEC,iPark 107 West 13th Street - Tesla Destination,107 W 13th St,,New York,NY,10011,,646-870-9022  877-798-3752,E,,Public,24 hours daily; pay lot; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.737094,-73.997754,9/30/2019,114997,3/2/2020 20:14,P,,,11/1/2018,J1772 TESLA
ELEC,Standard Parking 151 W 17th Street - Tesla Destination,151 W 17th St,,New York,NY,10011,,800-836-6666  877-798-3752,E,,Public,24 hours daily; for customer use only; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.740728,-73.997493,9/30/2019,115021,3/2/2020 20:14,P,,,9/1/2017,J1772 TESLA
ELEC,iPark NYC 250 West Parking - Tesla Destination,250  W 19th St,,New York,NY,10011,,212-627-1704  877-798-3752,E,,Public,24 hours daily; for customer use only; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.742179,-73.999226,9/30/2019,115068,3/2/2020 20:14,P,,,3/1/2015,J1772 TESLA
ELEC,New York University - Plaza Nursery School,110 Bleecker St,,New York,NY,10011,,866-816-7584,E,,Public,24 hours daily,,,2,,,EV Connect,http://evconnect.com/,GPS,40.727362,-73.997533,6/6/2019,123058,3/30/2020 21:22,P,,,4/1/2019,J1772
ELEC,iPark 10 West 15th - Tesla Destination,10 W 15th,,New York,NY,10011,,212-675-0335  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.736754,-73.993789,9/30/2019,114986,3/2/2020 20:14,P,,,11/1/2018,J1772 TESLA
ELEC,iPark NYC 555 West Garage Corp. - Tesla Destination,549  W 23rd St,,New York,NY,10011,,855-472-7569  877-798-3752,E,,Public,24 hours daily; for customer use only; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.748931,-74.006078,9/30/2019,150502,3/2/2020 20:14,P,,,9/30/2019,J1772 TESLA
ELEC,Rapidpark 124 W 20th Street - Tesla Destination,124  W 20th St,,New York,NY,10011,,212-627-7739  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.741371,-73.995533,9/30/2019,115008,3/2/2020 20:14,P,,,9/1/2017,J1772 TESLA
ELEC,BEAM CHARGING,122 W 3rd St,MINETTA GARAGE; See valet attendant for instructions on how to use the charging station.,New York,NY,10012,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.730485,-74.000728,4/1/2020,51686,4/1/2020 9:20,,,,,J1772
ELEC,Parkit 221 Thompson Street - Tesla Destination,221  Thompson St,,New York,NY,10012,,212-929-9404  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.729372,-73.999217,9/30/2019,115056,3/2/2020 20:14,P,,,1/1/2016,J1772 TESLA
ELEC,Parkright 169 Ludlow Street - Tesla Destination,169 Ludlow St,,New York,NY,10012,,212-247-7303  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.721724,-73.987776,9/30/2019,115029,3/2/2020 20:14,P,,,11/1/2018,J1772 TESLA
ELEC,Quik Park 32 Debrosses LLC - Tesla Destination,32 Debrosses St,,New York,NY,10013,,212-842-0069  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.723702,-74.010335,9/30/2019,115093,3/2/2020 20:14,P,,,1/1/2016,J1772 TESLA
ELEC,iPark NYC 44 Elizabeth Street - Tesla Destination,44 Elizabeth St,,New York,NY,10013,,855-472-7569  877-798-3752,E,,Public,24 hours daily; for customer use only; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.716947,-73.996472,9/30/2019,115138,3/2/2020 20:14,P,,,2/1/2016,J1772 TESLA
ELEC,Icon 376 Greenwich Street - Tesla Destination,376 Greenwich St,,New York,NY,10013,,212-227-7035  877-798-3752,E,,Public,24 hours daily; for customer use only; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.719814,-74.010394,9/30/2019,115112,3/2/2020 20:14,P,,,9/1/2017,J1772 TESLA
ELEC,MPG 121 Reade Street - Tesla Destination,121 Reade St,,New York,NY,10013,,212-608-3060  877-798-3752,E,,Public,24 hours daily; pay lot; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.716208,-74.009488,9/30/2019,115006,3/2/2020 20:14,P,,,11/1/2018,J1772 TESLA
ELEC,Parkit 10 Wooster St. - Tesla Destination,6-10 Wooster St,,New York,NY,10013,,212-431-1034  877-798-3752,E,,Public,24 hours daily; for customer use only; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.721131,-74.00357,9/30/2019,115174,3/2/2020 20:14,P,,,2/1/2015,J1772 TESLA
ELEC,Mott Street Parking - Tesla Supercharger,106 Mott Street,,New York,NY,10013,,877-798-3752,E,,Public,24 hours daily; for Tesla use only,,,,2,,Tesla,http://www.teslamotors.com/supercharger,200-9,40.717522,-73.997302,1/31/2020,102334,2/6/2020 19:50,P,,,7/23/2018,TESLA
ELEC,Icon Parking 308 Greenwich - Tesla Destination,308 Greenwich St,,New York,NY,10013,,212-227-6940  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.717568,-74.011042,9/30/2019,115088,3/2/2020 20:14,P,,,5/1/2016,J1772 TESLA
ELEC,Icon Parking - Patriot Parking,376 Greenwich Street,,New York,NY,10013,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,1,,,Blink Network,http://www.blinkcharging.com/,GPS,40.719772,-74.010475,4/1/2020,95078,4/1/2020 8:08,,,,,J1772
ELEC,Quik Park 311 West Broadway LLC - Tesla Destination,311 W Broadway,,New York,NY,10013,,212-925-2539  877-798-3752,E,,Public,24 hours daily; see valet for access,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.721638,-74.003781,9/30/2019,115091,3/2/2020 20:14,P,,,1/1/2016,TESLA
ELEC,Parkit 27 N Moore Street - Tesla Destination,27  N Moore St,,New York,NY,10013,,212-929-9404  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.720215,-74.007465,9/30/2019,115074,3/2/2020 20:14,P,,,1/1/2016,J1772 TESLA
ELEC,"The Standard, High Line - Tesla Destination",848  Washington St,,New York,NY,10014,,212-645-4646  877-798-3752,E,,Public,24 hours daily; for customer use only; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.740828,-74.008074,9/30/2019,115189,3/2/2020 20:14,P,,,3/1/2017,J1772 TESLA
ELEC,Parkit 575 Washington - Tesla Destination,575 Washington St,,New York,NY,10014,,212-929-9404  877-798-3752,E,,Public,24 hours daily; for customer use only; see valet for access,,,6,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.729474,-74.008847,9/30/2019,115164,3/2/2020 20:14,P,,,1/1/2016,J1772 TESLA
ELEC,iPark NYC E 77th Street - Tesla Destination,165 E 77th St,,New York,NY,10014,,855-472-7569  877-798-3752,E,,Public,24 hours daily; for customer use only; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.77364,-73.959302,9/30/2019,115028,3/2/2020 20:14,P,,,3/1/2016,J1772 TESLA
ELEC,Parkright 738 Greenwich Street - Tesla Destination,738 Greenwich St,,New York,NY,10014,,212-247-7303  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.735165,-74.007231,9/30/2019,115182,3/2/2020 20:14,P,,,8/15/2016,J1772 TESLA
ELEC,iPark NYC 61 Jane Street - Tesla Destination,61 Jane St,,New York,NY,10014,,855-472-7569  877-798-3752,E,,Public,24 hours daily; for customer use only; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.738222,-74.005908,9/30/2019,115173,3/2/2020 20:14,P,,,1/1/2016,J1772 TESLA
